"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         169,      -5.955214695,      -2.253575544,       -4.36852599,     -0.4864073139,      -6.792051909
          0,           0,         170,      -5.945196462,      -2.255268933,      -4.454561294,      -0.474997512,      -6.782803151
          0,           0,         171,      -5.907484782,      -2.258816086,      -4.180327254,     -0.4343296331,      -6.779151637
          0,           0,         172,      -5.964800849,      -2.259876553,      -4.357884273,     -0.4926370538,      -6.774527452
          0,           0,         173,      -5.954552384,      -2.261545793,      -4.429843883,     -0.4808441778,      -6.765451295
          0,           0,         174,        -5.9145476,      -2.265035172,       -4.16392617,     -0.4379462848,      -6.761764154
          0,           0,         175,      -5.974765459,      -2.266084824,      -4.349462265,     -0.4986868494,      -6.757038439
          0,           0,         176,      -5.964210907,      -2.267735329,      -4.411700529,     -0.4864399134,      -6.748091826
          0,           0,         177,      -5.921633228,      -2.271172965,      -4.153861354,     -0.4411722257,      -6.744338315
          0,           0,         178,      -5.985134527,      -2.272211897,      -4.346111497,     -0.5046121262,      -6.739838838
          0,           0,         179,      -5.974185844,      -2.273839209,      -4.407306765,     -0.4918620565,      -6.730990614
          0,           0,         180,      -5.928579658,      -2.277220907,      -4.152087439,     -0.4439319377,      -6.727161972
          0,           0,         181,      -5.995869137,      -2.278254199,      -4.348548683,     -0.5104002246,      -6.722655321
          0,           0,         182,      -5.984418583,      -2.279864428,      -4.417727932,     -0.4970911362,      -6.713946276
          0,           0,         183,      -5.935191085,      -2.283193514,      -4.156139978,     -0.4461569408,      -6.710112492
          0,           0,         184,      -6.006755703,      -2.284221814,      -4.352933155,     -0.5160292747,      -6.705719582
          0,           0,         185,      -5.994640415,      -2.285810265,      -4.437346086,     -0.5021003442,      -6.697070311
          0,           0,         186,      -5.941120584,      -2.289083938,      -4.160684699,     -0.4477577522,      -6.693169622
          0,           0,         187,      -6.017530981,      -2.290112466,      -4.353009494,     -0.5213937751,      -6.688805688
          0,           0,         188,      -6.004594883,      -2.291685226,      -4.454187586,     -0.5068013645,      -6.680298846
          0,           0,         189,      -5.946148662,      -2.294906951,      -4.159263813,     -0.4487893547,      -6.676406496
          0,           0,         190,      -6.027743404,       -2.29593474,      -4.344398848,     -0.5264751117,      -6.672110036
          0,           0,         191,      -6.013819889,      -2.297487125,      -4.455423591,     -0.5112031596,      -6.663651412
          0,           0,         192,      -5.949931364,      -2.300655186,      -4.148318318,     -0.4493003153,      -6.659691013
          0,           0,         193,      -6.037032244,      -2.301684941,      -4.327336067,     -0.5312227645,      -6.655435268
          0,           0,         194,      -6.021955509,      -2.303222846,      -4.434775669,     -0.5152381218,      -6.647108054
          0,           0,         195,      -5.952303779,      -2.306342211,       -4.12852222,     -0.4494324037,      -6.643183741
          0,           0,         196,      -6.044836337,      -2.307370855,      -4.305336623,     -0.5357154506,      -6.638982971
